Institute,City,Faculty,Department,Degree,Program,Eligibility Criteria,Test Required,Fee (PKR),Fee Type,Fee URL,Program URL,Application Deadline
International Islamic University Islamabad,Islamabad,Education,Educational Leadership & Management,PhD,PhD Research Abstracts,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-education/educational-leadership-management/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Civil Engineering,BS,BS Civil Engineering,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/department-of-civil-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Civil Engineering,BS,BS Civil Engineering program are mapped to thoroughly,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/department-of-civil-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Civil Engineering,MS,MS Civil Engineering,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/department-of-civil-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Civil Engineering,PhD,PhD Civil Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/department-of-civil-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,BS,BS Computer Engineering,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,BS,BS Electrical Engineering,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,MS,MS Biomedical Engineering,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,MS,MS Electrical Engineering,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,MS,MS Electrical Engineering and MS Biomedical Engineerin,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,PhD,PhD Biomedical Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,PhD,PhD Electrical Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Electronic Engineering,PhD,PhD Electrical Engineering and PhD Biomedical Engineeri,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/electronic-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,BS,BS Mechanical Engineering,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,BS,BS Mechanical Engineering Program is to prepare compet,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,PhD,PhD Energy Systems Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,PhD,PhD Engineering Management,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,PhD,PhD Mechanical Engg,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Engineering & Technology,Mechanical Engineering,PhD,PhD Mechanical Engineering,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/engineering-and-technology/departments/mechanical-engineering/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Management Sciences,Business Administration,BS,BS Public Administration,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/faculty-of-management-sciences/department-of-business-administration/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Sciences,Biotechnology & Bioinformatics,BS,BS Bio Technology,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sciences/department-of-biotechnology-bioinformatics/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Sciences,Biotechnology & Bioinformatics,MS,MS Bio Technology,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sciences/department-of-biotechnology-bioinformatics/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Sciences,Environmental Science,BS,BS Environmental Science,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sciences/department-of-environmental-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Sciences,Environmental Science,MS,MS Environmental Science,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sciences/department-of-environmental-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Sciences,Environmental Science,PhD,PhD Environmental Science,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sciences/department-of-environmental-science/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Shariah & Law,Shariah,MS,MS Human Rights Law and BA,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sharia-and-law/shariah/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Shariah & Law,Shariah,MS,MS Islamic Commercial Law,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sharia-and-law/shariah/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Shariah & Law,Shariah,MS,MS Muslim Family Law,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sharia-and-law/shariah/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Shariah & Law,Shariah,PhD,PhD Islamic Banking & Finance,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/sharia-and-law/shariah/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,Media & Communication Studies,BS,BS Media & Communication,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/centre-for-media-communications-studies/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,Media & Communication Studies,BS,BS Media Communication Studies,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/centre-for-media-communications-studies/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,Media & Communication Studies,PhD,PhD Media & Communication,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/centre-for-media-communications-studies/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,BS,BS Pakistan Studies,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,MS,MS Pakistan Studies,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,MS,MS Theses in History,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,MS,MS Theses in Pakistan Studies,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,PhD,PhD Pakistan Studies,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,History,PhD,PhD Programs in Pakistan Studies were approved to be la,"18 years of education (MS / MPhil) in relevant discipline with minimum CGPA 3.0/4.0, research proposal and availability of supervisor.",HEC GAT (Subject) or IIUI PhD Test + Interview,135000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/history-social-sciences/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,Islamic Arts & Architecture,BS,BS Islamic Art & Architecture,"FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent (A-Levels with IBCC equivalence) with minimum 50% marks. Mathematics required for Computing, Engineering and Science programs.",IIUI Admission Test,162000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/department-of-islamic-arts-and-architecture/,12 Feb 2026
International Islamic University Islamabad,Islamabad,Social Sciences,Islamic Arts & Architecture,MS,MS Islamic Art & Architecture,16 years of education (BS / BSc (Hons) or equivalent) in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,IIUI Admission Test or HEC GAT (General),144000,Per Semester,https://www.iiu.edu.pk/fee-structure/pakistani-students/,https://www.iiu.edu.pk/faculties/social-sciences/departments-ss/department-of-islamic-arts-and-architecture/,12 Feb 2026
