Scholarship Name,Description,Scholarship Type,Amount,Opening Date,Deadline,Status,Degree Level,URL
Sindh Educational Endowment Scholarship,"The Scholarship is part of the Sindh Educational Endowment Fund Trust (SEEF), which is run by the Sindh Government to help students from Sindh who are needy but meritorious, by providing financial assistance for higher education. 

At University of Sindh (USindh), this is shown under “Sindh Educational Endowment Scholarship” in the annual breakdown of scholarships disbursed by the Student Financial Aid Office. In 2024, USindh awarded 192 SEEF scholarships, totaling PKR 4,224,000 under this scholarship. ",need,0.0,2025-10-01,2025-09-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dd6ec648e7a0373517eebf
National Endowment Scholarships for Talent (NEST),"PEEF / NEST offers different scholarship programs, including:
1. Undergraduate level scholarships (e.g. for 4- or 5-year degree programs) 
2. Arts & Culture Scholarship (for students in arts, design, etc.) 
3. Nursing Scholarships in partner institutions. ",need,0.0,2025-09-11,2025-09-29,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dd6cfb48e7a0373517ecca
 HEC Need Based Scholarship,The HEC Need Based Scholarship is a financial aid program run by the Higher Education Commission (HEC) of Pakistan. Its aim is to help financially needy but academically capable students enrolled in undergraduate programs in public sector universities. ,need,0.0,2025-09-02,2025-10-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dd6b8d48e7a0373517e9c8
Benazir (EHSAAS) Undergraduate Scholarship,"The Benazir Undergraduate Scholarship Project (BUSP), formerly known as the Ehsaas Undergraduate Scholarship, is a need-and-merit based program by the Government of Pakistan & Higher Education Commission (HEC). 

It aims to help students from low-income families who have secured undergraduate admissions in public sector universities but are unable to continue due to financial constraints. 

Scholarship benefits include full tuition fee coverage + incidental charges (registration, exam, library fees, etc.) + a monthly stipend. 
",need,0.0,2025-09-03,2025-10-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dd69d048e7a0373517e714
Chief Minister’s Honhaar Undergraduate Scholarship Program 2025-26,Punjab Higher Education Commission (PHEC) has announced the opening of new registrations for the Chief Minister’s Honhaar Undergraduate Scholarship Program 2025-26. This Scheme is aimed at providing financial assistance to talented students of the Punjab province to can apply online via the official PHEC portal at: https://honhaarscholarship.punjabhec.gov.pk/ ,need,0.0,2025-09-01,2025-09-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dbeb0348e7a03735176f1a
Scotland Scholarship for Young Women and Girls 2025 Fully Funded BS/MS/M.Phil,"The Scotland Scholarships for Young Women and Girls 2025 are now accepting applications! This prestigious scholarship program, funded by the Scottish Government and administered by the British Council, provides invaluable opportunities for women to pursue higher education. The scholarships support both undergraduate and graduate studies in any Higher Education Commission (HEC)-recognized university across Pakistan, empowering young women to fulfill their academic ambitions and reach their potential.",merit,0.0,2025-09-01,2025-09-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68dbe65448e7a03735176e95
Balochistan Education Endowment Fund Scholarship-UOG,"Balochistan Education Endowment Fund (BEEF) is an Initiative of Government of Balochistan (on the pattern of Punjab Educational Endowment Fund, PEEF) for creation of a talented pool of youth of Balochistan.",need,0.0,2025-06-01,2025-08-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d5386c48e7a03735168066
Bait-ul-Maal Scholarship-UOG ,"Bait-ul-Maal provides scholarships and financial assistance to poor, needy, and disabled students in Pakistan through the Pakistan Bait-ul-Mal (PBM) or provincial Bait-ul-Maal bodies",need,0.0,2025-01-01,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d5373e48e7a03735168005
Chief Minister's Honhaar Undergraduate Scholarship Program-UOG,"The Honhaar Undergraduate Scholarship Program by the Government of the Punjab, offers merit-based scholarships to the deserving outstanding students pursuing undergraduate degrees at leading universities and colleges. This program is designed to support high-achieving individuals with limited financial resources, empowering them to access quality education and excel in their academic careers. Scholarship scheme covers tuition fees of the students enabling them to focus on their studies.",merit,0.0,2025-02-16,2025-03-16,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d4ea5048e7a037351651ad
MC-UCI Scholarship for BBA,"Monroe College (MC) BBA Program fees on its campus in New York, USA is USD $8721 per semester. Monroe College has very graciously agreed to offer a special fee grant for students at UCI campus. Monroe College will charge only USD $900 per semester for BBA program for UCI students in Pakistan.
UCI’s fee is also very competitive to enable Pakistan students for studying BBA program. UCI will also offer a scholarship of Pakistan Rupees (PKR) 40,000 for BBA students per semester on merit. This is a great financial support, UCI is offering to its students.",merit,0.0,2025-09-01,2025-09-25,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d2d89c48e7a0373515c975
EHSAAS UG Scholarships-QAU,"The government of Pakistan has started Ehsaas undergraduate scholarships for needy students who face financial problems. 20,0000 students from 135 universities can apply online for the year 2025. ",need,0.0,2025-01-01,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d15d9648e7a0373515a501
USAID Funded Merit and Need Based Scholarship,"USAID has shown its commitment to support the program of scholarship for academically qualified Pakistani students, who aspire to continue higher studies, but due to lack of financial resources are unable to continue. ",merit,0.0,2025-04-01,2025-09-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d15c5648e7a0373515a49d
NUML Merit Scholarship,"Merit Scholarship will be awarded on basis of academic excellence. Merit scholarship may be awarded in following forms:-
i. Fee waiver
ii. Fee refund
iii. Monetary incentive / award
v. Any other form approved by the Statuary Bodies.
Merit Scholarship will be awarded to the top students in a class or batch considering the number of students. Regional campuses will be considered separately for the award of scholarship depending upon type of scholarship. The award will be as per university policy.",merit,0.0,2025-01-01,2025-01-01,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d110ac48e7a03735159216
Scholarship by Pakistan Bait-ul-Mal,"Applications are invited from deserving students of the University for Award of scholarships by Pakistan Bait-ul-Mal (PBM).
Pakistan Bait-ul-Mal (PBM)  is a charity and social welfare organization to help the poor and needy in Pakistan. In NUML, it provides educational assistance to the needy and orphans and financial aid to the non-affording and deserving students for higher professional education.",need,0.0,2025-02-05,2025-03-05,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d0fd3448e7a03735157b87
HEC Need Based Scholarship Program,"HEC Need Based Scholarship program has been introduced in NUML with the intention of uplifting the academic needs of talented students so, as to provide them the opportunity for pursuing higher education with ease and comfort. Student coming from remote and rural areas who fulfill the requirements for the program will be given special preference so that they can complete their education and improve their socioeconomic condition in order to be a part of the bigger arena in Pakistan.

To provide an opportunity for talented students who are financially deprived and incapable to meet the higher educational costs
Provide opportunities for academically qualified, yet financially needy students to continue higher studies at NUML, especially come from remote areas of country and belongs to poor and lower middle class of society",need,0.0,2025-01-18,2025-02-18,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68d0fc7c48e7a03735157b29
SPORTS BASED SCHOLARSHIP,"The Sports Scholarship program aims to recognize and support exceptionally talented athletes who demonstrate excellence both on the field and in their field of study. We are committed to fostering a culture of athletic and academic excellence, thereby empowering our students to become future leaders in their respective fields.",sports,0.0,2025-06-01,2025-06-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68cc3cb73f7e6848f3cbffa9
Need Based Financial Assistance ,"Up to 50% Need Based Financial Assistance can be granted keeping in view the financial position of the student. The percentage of need-based financial assistance may vary from case to case. The decision will be made based on the following:

Interview of the student.
The financial position of the student/parents/guardians.
Validity of documents.",need,0.0,2025-06-01,2025-06-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68cc39633f7e6848f3cbfd69
Merit Based Scholarship,"Merit based scholarship will be granted after verification of submitted documents.
The time to apply for the scholarship is within two weeks from the start of classes or within two weeks of paying the first installment.
Application for merit-based scholarship will not be processed in case the applicant does not submit the required documents. (Details are mentioned on the merit-based scholarship form).
The scholarship will be granted on tuition fees only.",merit,0.0,2025-06-01,2025-06-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68cc37a73f7e6848f3cbfccc
DAFI Scholarship-CECOS,"CECOS University offers the DAFI scholarship specifically for Afghan refugee students, allowing them to pursue higher education in Pakistan. The scholarship is managed by the UN Refugee Agency (UNHCR) and funded by the German government.",merit,0.0,2025-07-01,2025-07-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ca53923f7e6848f3cb8fb8
Need based scholarship-CECOS,CECOS University offers Need-Based Scholarships for students facing financial hardships,need,0.0,2025-08-06,2025-09-06,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ca52513f7e6848f3cb8ebc
Worker welfare board scholarship-CECOS,CECOS University is offering scholarships for the children of registered or deceased workers (with death grant).,need,0.0,2025-08-06,2025-09-06,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ca513a3f7e6848f3cb8db3
Kin-based Concession-CECOS,Kinship-Based Concession offers financial support to immediate family members of current students and alumni.,need,0.0,2025-08-06,2025-09-06,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ca4fe73f7e6848f3cb8ce3
Need Based Scholarship,"Coverage: Full tuition (excluding summer semester) plus a monthly stipend of PKR 6,000 throughout the program—5 years in the case of medicine/Pharm-D.",need,0.0,2025-07-01,2025-07-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ba523e3f7e6848f3ca08b0
Industry Scholarship,"At the University of Bolton Islamabad, we recognize the importance of bridging the gap between academia and industry. Our Industry Scholarships are designed to support students who demonstrate exceptional potential and a keen interest in pursuing careers within key industrial sectors. Supported by our industry partners, recipients of this scholarship are provided with invaluable networking opportunities, internships, and mentorship programs to enhance their employability and professional growth.",merit,0.0,2025-08-01,2025-08-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68adf0825c120d8868efd627
Ambassador Scholarship,"We value students who are passionate about representing the University of Bolton Islamabad and its values. Our Ambassador Scholarships are awarded to students who demonstrate strong leadership qualities, a commitment to community service, and a desire to promote the university’s mission and vision. Recipients of this scholarship serve as ambassadors for the University of Bolton Islamabad, participating in outreach activities, events, and promotional campaigns.",merit,0.0,2025-08-01,2025-08-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68adeffe5c120d8868efd5a7
Talent Scholarship,"The University of Bolton Islamabad celebrates diverse talents across various fields. Our Talent Scholarships are designed to support students who excel in areas such as sports, arts, leadership, and other extracurricular activities.",merit,0.0,2025-08-01,2025-08-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68adef895c120d8868efd527
Merit Scholarship,"Academic excellence is at the heart of the University of Bolton Islamabad’s values. Our Merit Scholarships reward students who have achieved outstanding academic performance. These scholarships are awarded based on high academic achievement, and they provide financial support to students who demonstrate a commitment to maintaining high academic standards throughout their studies.",merit,0.0,2025-08-01,2025-08-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68adef045c120d8868efd49d
Need Based Scholarship,"Understanding the diverse financial challenges faced by many students, the University of Bolton Islamabad offers Need-Based Scholarships to ensure that education remains accessible to all.",need,0.0,2025-08-01,2025-08-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68adee845c120d8868efd411
HEC Need-Based Scholarship Fuuast,To provide opportunities to talented but financially deprived students and empower them to acquire a high quality education at a reputed Public Sector institutions /university.,need,0.0,2025-04-15,2025-10-25,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ad9ed95c120d8868efc677
Sindh Education Endowment Scholarship 2025.,The Sindh Educational Endowment Fund (SEEF) disburses scholarship stipend to students through institution where applicant is studying/registered/enrolled.,need,0.0,2025-06-10,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68ad9cdc5c120d8868efc5dd
Pakistan Education Endowment Fund (PEEF),Stipend + potential full tuition coverage,need,0.0,2025-07-01,2025-10-07,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6894c632dacdaf85b6a15844
HEC-EHSAAS Scholarship Project,Undergraduate Programs (Subsidized & Regular),need,0.0,2025-07-01,2025-10-07,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6894c0dadacdaf85b6a156d7
HEC Need-Based Scholarships,For needy undergrads in subsidised category,need,6000.0,2025-07-01,2025-10-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6894bf70dacdaf85b6a15597
University Merit Based Scholarship,Awards based on top positions.,merit,0.0,2025-07-01,2025-10-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6894be41dacdaf85b6a15517
Benazir Undergraduate Scholarship Project-NUMS,The Benazir Undergraduate Scholarship Project (BUSP) at the National University of Medical Sciences (NUMS) is a flagship need-based financial aid initiative designed to support academically talented yet financially disadvantaged students enrolled in undergraduate programs. The scholarship is aligned with the Government of Pakistan’s broader commitment to promoting equitable access to higher education through inclusive social support mechanisms.,need,0.0,2025-08-01,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68945a51dacdaf85b6a14b90
HEC – Need-Based Scholarship Program ,"To provide financial support to its students, the Financial Aid Office of NUMS announces Phase VI of the HEC – NUMS Need-Based Scholarship Program. Scholarships shall be granted based on financial need after due authentication and scrutiny of documents, and interviews. This scholarship is offered to presently enrolled students of all Departments of NUMS, Armed Forces Postgraduate Medical Institute (AFPGMI) and Army Medical College, Rawalpindi (AM College).",need,0.0,2025-07-28,2025-08-04,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68874687b822a42db8166a87
Pak-USAID Merit and Needs based Scholarship Program,"The Pak-USAID Merit and Needs based Scholarship Program Phase-II are focused on providing opportunities for access to higher education especially to under privileged candidates who, despite possessing academic merit, are unable to finance their education. The scholarship is not restricted to tuition only, but extends to accommodation and living expenses. ",need,0.0,2025-07-01,2025-10-02,Expired,Bachelors,https://scholarbee.pk/scholarship-details/688667ec9b34bf58bb4067c8
Chief Minister's Honhaar Scholarship Program,"This program, offered in collaboration with the Punjab Higher Education Commission (PHEC), provides 100% tuition fee coverage for deserving undergraduate students. 
The program is designed to empower students with strong academic records to pursue their academic goals without financial burdens. 
Superior University is one of the six private universities participating in this program, according to the university. ",need,0.0,2025-02-13,2025-05-25,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68865b759b34bf58bb4063bb
Muhammad Akram Qarz-e-Hasna,"This scholarship is structured as an interest-free loan, requiring repayment after graduation. ",merit,0.0,2025-06-06,2025-07-06,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6886571c9b34bf58bb40610a
Ehsaas Scholarship,"Ehsaas Scholarship project is a paradigm shift in a policy of the Government of Pakistan to support undergraduate level students who after completing FA/FSc./Intermediate are unable to pursue university education due to limited financial resources. Unlike past financial assistance schemes that were aimed at MS or PhD programs, the Ehsas Undergraduate Scholarship Project focuses on the most critical segment, namely the 4-5 year undergraduate programs, which contributes the most to income of the individual who completes the bachelors degree.",need,0.0,2025-07-02,2025-12-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6881f89e7b51f165990830dc
Balochistan Education Endowment Fund - (BEEF),"Balochistan University of Engineering & Technology Khuzdar announces the Balochisten Education Endowment Fund (BEEF) Scholarship for top ten (10) meritorious students of every Undergraduate class, top five (5) for M.E/MS and Special Quota category. ",merit,0.0,2025-07-02,2025-08-24,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6881f6f07b51f16599083077
HEC Need Based Scholarship,"Higher Education Commission facilitates the needy and deserving students through Need Based Scholarships. The Needs Based Scholarship program covers funds for expenses including Tuition Fee, Lodging, Transportation and Other Academics Costs.",need,0.0,2025-05-05,2025-07-16,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6881f5067b51f1659908302a
Sui Southern Gas Scholarship,"Provided by Sui Southern Gas Company on a Poverty-Cum-Merit basis, this assistance motivates and encourages academic performance among Bachelor degree programme students of Sindh and Balochistan provinces.",need,0.0,2025-07-02,2025-09-19,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6881a0df7b51f1659908188e
Foreign Students Scholarship,This financial assistance is provided by the Economic Affairs Division Islamabad for students admitted in foreign reserved seats in Bachelor degree programs.,need,0.0,2025-05-21,2025-07-26,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68819ec77b51f165990817e9
Poor Boys University Endowment Fund ,"Every year, financial assistance/support on a Poverty-cum-Merit basis is provided by the University to poor students. For this purpose, a committee of all Chairmen of academic departments is constituted to scrutinize cases; thereafter, the committee interviews the applicants and finalizes the names of the deserving candidates for the award of financial assistance.",need,0.0,2025-06-19,2025-08-15,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68819c927b51f165990816ab
Punjab Educational Endowment Fund (PEEF) Scholarships,"The Government of Punjab gives 42 scholarships to indigent students having domicile of Punjab. 
The scholarship is for 4-year undergraduate studies and covers some portion of the tuition fee. The remaining tuition fee can be given by the University as Qarz-e-Hasna.",need,0.0,2025-06-04,2025-07-05,Expired,Bachelors,https://scholarbee.pk/scholarship-details/687e09dc7b51f165990770e4
Killa Gift Scholarship,The Killa Gift Fund Trust awards scholarships to the students who or whose parents own agricultural land in Faisalabad District.,need,0.0,2025-03-04,2025-06-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68794d7b7b51f1659906e6a3
Abdul Fatah Memorial Trust Scholarship,This scholarship is specifically for students at the main campus in Khairpur and other campuses. ,merit,0.0,2025-05-12,2025-09-16,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6871481625ce9bfa136c78d4
Bhittai Scholarship,This scholarship is awarded by Ms. Sharood Hassan Ali Khan to deserving students. ,need,0.0,2025-05-05,2025-08-22,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6871474e25ce9bfa136c7847
JICA Scholarship,The Japan International Cooperation Agency (JICA) offers scholarships through the Higher Education Commission for deserving students at SALU. ,need,0.0,2025-06-25,2025-10-16,Expired,Bachelors,https://scholarbee.pk/scholarship-details/687146be25ce9bfa136c778d
Need Base Scholarship,"Isra University does offer scholarships and financial aid to students, including those under the HEC Need Based Scholarship Program. The university provides financial assistance in the form of scholarships, tuition fee concessions, and cash awards, with over 10% of enrolled students receiving some form of support. Additionally, the HEC Need Based Scholarship Program is available to students demonstrating financial need. ",need,0.0,2025-07-07,2025-09-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/68710e3925ce9bfa136c6b62
Honhaar Scholarship Program,"This program focuses on undergraduate students, offering financial assistance to those who demonstrate academic merit and need. ",need,0.0,2025-07-01,2025-09-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/687106e725ce9bfa136c653f
National Bank Loan Scheme,"Pursuant to the announcement made by the Federal Finance Minister in his 2001-2002-budget speech, a STUDENTS LOAN SCHEME (SLS) for Education was launched by the Government of Pakistan in collaboration with major commercial banks of Pakistan (NBP, HBL, UBL, MCB and ABL). Under the Scheme, financial assistance is provided by way of Interest Free Loans to the meritorious students who have financial constraints for pursuing their studies in Scientific, Technical and Professional education within Pakistan.

The Scheme is being administered by a high powered committee comprising Deputy Governor, State Bank of Pakistan, Presidents of the commercial banks and representative of Ministry of Finance, Government of Pakistan.",need,0.0,2025-05-20,2025-08-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6870f8d425ce9bfa136c5392
HEC Need Based Scholarships ,To provide opportunities to talented but financially deprived students and empower them to acquire a high quality education at a reputed Public Sector institutions /university.,need,0.0,2025-07-01,2025-08-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6870f6ea25ce9bfa136c5281
Talent Hunt Scholarships - CECOS University,"Tuition Fee Waiver	Distribution
100%	For top 3 candidates having minimum 70% marks in their intermediate & minimum score of 60% in the talent hunt scholarship test.
50%	For top 12 candidates having minimum 70% marks in their intermediate & minimum score of 60% in the talent hunt scholarship test.",need,0.0,2025-06-01,2025-07-28,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fce3225ce9bfa136c000b
Merit Based Scholarship,"City University of Science and Information Technology (CUSIT) in Peshawar offers various scholarships, including merit-based and need-based options, to support students pursuing undergraduate and postgraduate programs. These scholarships can cover a percentage of tuition fees or, in some cases, provide full financial assistance. ",merit,0.0,2025-06-01,2025-06-21,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fcc7725ce9bfa136bfe65
Merit-Based Scholarships - Hajvery University Lahore,"Our Merit-Based Scholarships aim to honor students who demonstrate outstanding academic achievements. With up to a 50% waiver on tuition fees, these scholarships are available for both undergraduate and postgraduate programs, making quality education more accessible.",merit,0.0,2025-06-01,2025-07-20,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fcb6325ce9bfa136bfcc7
Need Base Scholarship - AUST,Awarded to students who demonstrate academic excellence. ,merit,0.0,2025-09-08,2025-07-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fc99f25ce9bfa136bf98d
Merit Based Scholarship - Kohsar University Murree,"Kohsar University Murree aims to reward students for their hard work and encourage them to continue their pursuit of excellence while also pursuing the next level of education. All applications are assessed solely on merit. Merit Based Scholarship for disbursement of amount to the students= RS. 576,000/.",merit,0.0,2025-07-01,2025-08-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fc87425ce9bfa136bf715
Need-Cum-Merit Scholarships - Textile Institute University,Up to 100% need-cum-merit scholarships are available to new students for 1st year (2 semesters) subject to the following eligibility criteria:,merit,0.0,2025-05-10,2025-06-27,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fc6cb25ce9bfa136bf5a7
HITEC University Merit/Position Holder Scholarship	,"HITEC University offers merit-based scholarships, including a ""Position Holder Scholarship,"" to students based on their academic performance. These scholarships are awarded to students who secure positions in the university's merit list and/or achieve high scores in board exams. The scholarship amount can be a waiver of up to 50% of tuition fees, and in some cases, a 100% waiver for the first semester. ",merit,0.0,2024-07-05,2025-09-03,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686fc25e25ce9bfa136bf153
QUAID-E-AZAM SCHOLARSHIP,Merit based scholarship are awarded in following degree programs at the time of admission to a student who demonstrates academic excellence:,merit,0.0,2025-08-08,2025-10-08,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686c2e6825ce9bfa136ae390
HEC Need‑Based Scholarship,"Financial assistance for students from economically disadvantaged backgrounds, covering tuition and associated educational expenses.",need,0.0,2025-09-01,2025-10-13,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686b90dd25ce9bfa136ab122
Need‑cum‑Merit Scholarship,"This scholarship supports academically talented female students who are unable to afford university tuition. Awarded at the time of admission, it covers partial tuition fees and is renewable each semester based on academic performance.",need,0.0,2026-01-15,2026-02-28,Open,Bachelors,https://scholarbee.pk/scholarship-details/68683d2825ce9bfa1369e45b
Merit Scholarship,"Awarded to students with outstanding academic performance in entry exams or prior academic records.
",merit,0.0,2025-06-10,2025-09-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6862c33525ce9bfa1368b601
Financial Assistance in the form of interest-free loans,"IVS believes in providing equal opportunity to students who face economic challenges in pursuing their studies. It promotes the philosophy of equal opportunity and education for all in an inclusive learning environment.

Financial help is offered in the form of Financial Assistance (interest-free loans) and Scholarships to new students as well as existing students who are finding it difficult to pay their fees due to changed circumstances.",need,0.0,2025-06-01,2025-07-31,Expired,Bachelors,https://scholarbee.pk/scholarship-details/686243c025ce9bfa1368aa5c
HEC Need Based Scholarship,The scholarships aim to elevate the socio-economic status of the students by enabling their chances to get the modern education and career opportunities.,need,0.0,2025-08-10,2025-09-30,Expired,Bachelors,https://scholarbee.pk/scholarship-details/6861880925ce9bfa13687d4b
