Institute,City,Campus,Degree,Program,Duration,Eligibility Criteria,Test Requirement,Fee (PKR),Fee Type,Apply Deadline (2026),Program URL
National University of Modern Languages,Islamabad,Main Campus,BS,BS Computer Science (BSCS),,"Eligibility: Intermediate with any one of the following combinations with 50% marks:  (1) Maths, Physics and Chemistry.  (2) Maths, Stats and Computer (3) Maths, Physics and Computer (4) Maths, Stats and Physics (5) Maths, Stats and Economics, (6) Physics, Chemistry& Biology.  OR Diploma in Associate Engineering Examination with at least 60% aggregate marks in the relevant discipline. National Uni",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/57
National University of Modern Languages,Islamabad,Main Campus,BS,BS Artificial Intelligence (BS AI),,"Eligibility: 1. Intermediate with any one of the following combinations with 50% marks: Maths, Physics and Chemistry Maths, Stats and Computer Maths, Physics and Computer Maths, Stats and Physics Maths, Stats and Economics Physics, Chemistry and Biology 2. Diploma in Associate Engineering Examination with at least 60% aggregate marks in the relevant discipline. National University of Modern Langua",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/352
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Computing,,"Eligibility: Intermediate with Mathematics - 50% marks or Equivalent. Students who have not studied Mathematics at Intermediate level have to pass deficiency courses of Mathematics (06 credits) in first two semesters. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hydera",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/460
National University of Modern Languages,Islamabad,Main Campus,BS,BE Electrical Engineering,,"Eligibility: a. FSc - Pre-Engineering (Physics, Mathematics & Chemistry) from any board of Intermediate and Secondary Education OR an Equivalent foreign qualification with Physics, Mathematics & Chemistry. b. At least 60 % aggregate marks each in Matric and FSc. Equivalent marks for Foreign qualification to be determined by IBCC, Islamabad. c. Diploma of Associate Engineering Examination with at l",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/189
National University of Modern Languages,Islamabad,Main Campus,BS,BS Electronics,,"Eligibility: For admission into BS Electronics, 45% Marks in intermediate with Physics or Mathematics or equivalent degree from accredited Institution List of BS Elective Courses Industrial Automation Internet of Things Power Electronics Laser and Fiber Optics Advance Computer Programming Opto-electronics Nanotechnology Linear Integrated Circuits Antennas & Wave Propagation Artificial Intelligence",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/349
National University of Modern Languages,Islamabad,Main Campus,BS,BS Computer Engineering,,Eligibility Criteria: Minimum 60% marks in Intermediate / 12 years schooling / A-Level (HSSC) or Equivalent with Mathematics are required for admission in the BS Computer Engineering Program. Students of F.Sc. Pre-Medical shall be required to pass two additional Mathematics courses to make up for the deficient background in Mathematics at HSSC. Additional Mathematics Courses Course Semester Requir,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/520
National University of Modern Languages,Islamabad,Main Campus,BS,BS Robotics & Intelligent Systems,,Eligibility Criteria: Minimum 60% marks in Intermediate / 12 years schooling / A-Level (HSSC) or Equivalent with Mathematics are required for admission in the BS Computer Engineering Program. Students of F.Sc. Pre-Medical shall be required to pass two additional Mathematics courses to make up for the deficient background in Mathematics at HSSC. Additional Mathematics Courses Course Semester Requir,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/535
National University of Modern Languages,Islamabad,Main Campus,BS,BS German,,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/215
National University of Modern Languages,Islamabad,Main Campus,BS,BS Pashto,4 Year,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/136
National University of Modern Languages,Islamabad,Main Campus,BS,BS Balochi,,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/293
National University of Modern Languages,Islamabad,Main Campus,BS,BS Punjabi,,"Eligibility: Intermediate with 2nd Division OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, I",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/407
National University of Modern Languages,Islamabad,Main Campus,BS,BS Urdu (Bridging),,Eligibility: BA/BSc with 45% marks & having an elective subject in the target language OR BA/BSc with 45% marks & Diploma / Advanced Diploma preferably Interpretation level in the Language from NUML OR equivalent. Courses: S.No Course Code Subject Credit Hours 1 URBR-101 Basic English 3 2 URBR-102 Computer B 3 3 URBR-103 Basic Mathematics 3 4 URBR-111 Principle of Management 2 5 URBR-121 Classical,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/60
National University of Modern Languages,Islamabad,Main Campus,BS,BS Urdu,,Eligibility: Intermediate with 2nd Division or A-Level with 50% marks or equivalent. Courses: S.No Course Code Subject Credit Hours 1 URBH-101 Basic English 3 2 URBH-102 Pakistan Studies 3 3 URBH-103 Basic Mathematics 3 4 URBH-111 Introduction to Economics 3 5 URBH-112 Introduction to Psychology 3 6 URBH-121 Classical Poetic Genres 3 7 URBH-104 Advanced English 3 8 URBH-105 Islamiat 3 9 URBH-113 I,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/122
National University of Modern Languages,Islamabad,Main Campus,BS,BS Urdu Foreigners,,Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 URBF-141 Composition and Dictation 3-0 2 URBF-142 Basic Reading Skills 3-0 3 URBF-121 Basic Grammar 3-0 4 URBF-122 Basic Listening Skills 3-0 5 URBF-123 Basic Speaking Skills 3-0 6 URBF-124 Basic Conversation 3-0 7 URBF-143 Composition and Translation 3-0 8 URBF-144 Read,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/330
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Urdu,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/546
National University of Modern Languages,Islamabad,Main Campus,BS,BS-Turkish,,Eligibility: Intermediate/A-Level with having Turkish Language language diploma or equivalent Courses: S.No Course Code Subject Credit Hours 1 BSTK101 Basic Grammar I 3 2 BSTK102 Reading Skills I 3 3 BSTK104 Speaking & Listening Skills I 3 4 BSTK103 Writing Skills I 3 5 GTKC101 Islamic Studies 3 6 GCTK102 English I 3 7 BSTK105 Basic Grammar II 3 8 BSTK106 Reading Skills   II 3 9 BSTK107 Writing Sk,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/187
National University of Modern Languages,Islamabad,Main Campus,BS,BS Chinese Language Teaching (CLT),,"Eligibility: Intermediate with 2nd Division OR A-Level with 50% marks OR Equivalent National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/383
National University of Modern Languages,Islamabad,Main Campus,BS,BS Korean Language & Culture,4 Year,Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 KOR-BS-101 Introduction of Korean Grammar and Vocabulary (FC) 3 2 KOR-BS-102 Introduction of Korean Culture (GC) 3 3 KOR-BS-103 Oral T-1 (Listening) (FC) 3 4 KOR-BS-104 Basic Korean Reading (FC) 3 5 KOR-BS-105 Introduction to Korean Writing (FC) 3 6 KOR-BS-106 Basic Kore,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/131
National University of Modern Languages,Islamabad,Main Campus,BS,BS Persian,,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/291
National University of Modern Languages,Islamabad,Main Campus,BS,BS Persian ( For Foreigners ),,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/292
National University of Modern Languages,Islamabad,Main Campus,BS,BS English (Bridging),,Eligibility: Bachelor’s Degree with 45% marks. Applicants must have studied English as a compulsory subject at Graduation level. Preference will be given to those who have studied Elective English at graduation level. Courses: S.No Course Code Subject Credit Hours 1 GC 001 Mathematics 3 2 GC 002 Introduction to I.T Skills 3 3 ENBE- 111 Basic English Language Skills 3 4 ELL 004 Introduction to Lite,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/331
National University of Modern Languages,Islamabad,Main Campus,BS,BS Hindi,4 Year,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/212
National University of Modern Languages,Islamabad,Main Campus,BS,BS Bangla,,"Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Islama",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/290
National University of Modern Languages,Islamabad,Main Campus,BS,BS Arabic,4 Year,"Eligibility: Intermediate with 2nd Division or A-Level with 50% marks or equivalent National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/170
National University of Modern Languages,Islamabad,Main Campus,BS,BS French,4 Year,Eligibility: Intermediate with 2nd Div OR A–Level with 50% marks OR Equivalent. Courses: S.No Course Code Subject Credit Hours 1 FREN-101 English 1 (CC) 3 2 FRPS-102 Pakistan Studies (CC) 2 3 FRTC-121 Text Comprehension & Appreciation 1 (FC) 2 4 FRAG-122 Applied Grammar (A1-A2 Level) (FC) 3 5 FRWS-123 Writing Skills 1 (FC) 2 6 FRSS-124 Speaking Skills 1 (FC) 3 7 FRLS-125 Listening Skills 1 (FC) 1.,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/67
National University of Modern Languages,Islamabad,Main Campus,BS,BS Mathematics,,Eligibility: 50% marks in Intermediate with Mathematics / A level or equivalent with Mathematics OR Diploma in Associate Engineering (DAE) with 60% marks. Courses: S.No Course Code Subject Credit Hours 1 MTCA-101 Calculus-I 3 2 MTSL-102 Elements of Set Theory and Logic 3 3 MTPH-101 Physics-I 4 4 MTIC-111 Introduction to computers 3 5 MTEN-101 English-I (Functional English) 3 6 MTIS-101 Islamic Stu,NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/250
National University of Modern Languages,Islamabad,Main Campus,BS,BS Mathematics (Bridging),,"Eligibility: Bachelor’s Degree with 50% marks and having combination of subjects i. Math-A&B ii. Math General & Physics or Math-B. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 202",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/416
National University of Modern Languages,Islamabad,Main Campus,BS,BS Computational Mathematics And Artificial Intelligence,,"Eligibility: 50% marks in Intermediate with Mathematics, ICS / A level or equivalent with Mathematics. Pre-medical background students will have to pass deficiency courses of Mathematics (06 credits) in first two semesters. Courses: S.No Course Code Subject Credit Hours 1 ESFE-101 English 1 3 2 CSIT-102 Application of Information and Communication Technologies(ICT) 3 3 MAAI-166 Introduction to Art",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/537
National University of Modern Languages,Islamabad,Main Campus,BS,Bachelor Of Business Administration,2 Year,"Eligibility: Intermediate (12 Years) With Minimum 45% marks A-Level with Minimum 50% marks. All HEC conditions apply. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National ",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/84
National University of Modern Languages,Islamabad,Main Campus,BS,Associate Degree In Business Administration,,"Eligibility: Intermediate with 45% marks OR A – Level with 50% marks OR Equivalent. National University of Modern Languages H-9/4 Islamabad ,Pakistan Phone: +92-51-9265100 Email: info@numl.edu.pk Regional Campuses Lahore Campus Faisalabad Campus Multan Campus Hyderabad Campus Quetta Campus Peshawar Campus Karachi Campus Rawalpindi MirpurAJK Campus 2026 © National University of Modern Languages, Is",NUML Undergraduate Entry Test / Merit Based,75000,Per Semester,2026-02-03,https://numl.edu.pk/programs/program/543
