Institute,City,Degree,Faculty,Department,Program,Locations,Duration,Eligibility Criteria,Test Required,Fee (PKR),Fee Type,Fee URL,Program URL,Application Deadline
Riphah International University,Islamabad,BS,Faculty of Engineering & Applied Science (FEAS),Islamic International Engineering College (IIEC),B.S Biomedical Sciences,I-14 Campus (Islamabad),8 Semesters / 138 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),Doctor of Physical Therapy (DPT),"Gulberg Green Campus (Islamabad), Al-Mizan Campus (Rawalpindi), Gulberg Campus (Lahore), Malakand Campus (Malakand)",5 Years (10 Semesters) / 193 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,200000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),"Department of English Linguistics and Literature (DELL), Department of Social Sciences (DSS)",BS English,"Gulberg Green Campus (Islamabad), Malakand Campus (Malakand)",4 years (8 semesters) / 137 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Public Policy (RIPP),BS Public Administration (BS PA),G-7 City Campus (Islamabad),4 Years (8 Semesters) / 130 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Public Policy (RIPP),BS International Relations (BS IR),G-7 City Campus (Islamabad),4 Years (8 Semesters) / 130 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Media Sciences (RIMS),BS Game Design & Production (BS-GD&P),I-14 Campus (Islamabad),4 Years (8 Semesters) / 138 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,130000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Media Sciences (RIMS),BS Media Studies ( With Specialisations),I-14 Campus (Islamabad),4 Years (8 Semesters) / 136 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,130000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Management Sciences (FMS),Riphah Institute of Hospitality & Culinary Arts (RIHCA),Bachelor of Science in Hospitality Management (BS HM),"G-7 City Campus (Islamabad), Gulberg Campus (Lahore)",04 Years (8 Semesters) / 132 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Health & Medical Sciences (FHMS),Islamic International Dental College (IIDC),Bachelor of Dental Surgery (BDS),G-7 City Campus (Islamabad),4 years,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,200000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),"Department of Psychology (DP), Riphah Institute of Clinical and Professional Psychology (RICPP)",Bachelor of Science in Applied Psychology (BSAP),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",4 years (8 semesters) / 130 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Public Policy (RIPP),BS International Relations (Bridging Program) (BS IR(After 14 Years)),G-7 City Campus (Islamabad),2.5 (5 Semesters) / 67 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),BS Speech Language Pathology (BS-SLP),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",4 years / 135 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),BS Optometry and Orthoptic (BS-O&O),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",4 years / 133 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),BS Medical Lab Technology (BS-MLT),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore), Malakand Campus (Malakand)",4 years / 144 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),BS Medical Imaging Technology (BS-MIT),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",4 years / 133 Credit Hours,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,BS Human Nutrition & Dietetics (BS-HND),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,BS Public Administration (Bridging Program) (BS PA (After 14 Years)),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,Bachelor of Science in Clinical Psychology (BSCP),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,Doctor of Pharmacy (Pharm-D),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,200000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,"International Foundation Year (Business, Engineering, Sciences, Humanities and Computing) (IFY)",,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,"International Year One (Business, Electrical Engineering and Law) (IYOne)",,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,Bachelors of Science in Biomedicine (BS Biomedicine),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,Bachelors of Science in Cosmetic Sciences (BS Cosmetic Sciences),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,BS,,,BS Computational Physics (Comp Physics),,,FSc (Pre-Engineering / Pre-Medical / ICS) or equivalent with minimum 50% marks.,Riphah Admission Test or SAT / NAT (where applicable).,120000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Computing (FC),Riphah Institute of Informatics (RII),MS Software Engineering (MSSE),I-14 Campus (Islamabad),2 Years / 34 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,160000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Computing (FC),"Riphah Institute of Informatics (RII), Riphah School of Computing & Innovation (RSCI)",MS Computer Science (MSCS),"I-14 Campus (Islamabad), Raiwind Campus (Lahore), Gulberg Green Campus (Islamabad), Malakand Campus (Malakand)",2 Years / 34 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,160000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Computing (FC),"Riphah School of Computing & Innovation (RSCI), Riphah Institute of Systems Engineering (RISE)",MS Data Science (MSDS),"Raiwind Campus (Lahore), G-7 City Campus (Islamabad)",2 Years / 34 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,160000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Computing (FC),Riphah Institute of Systems Engineering (RISE),MS Information Security (MSIS),G-7 City Campus (Islamabad),2 Years / 34 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",MS Electrical Engineering (MS-EE),"I-14 Campus (Islamabad), Gulberg Campus (Lahore), Raiwind Campus (Lahore)",2 Year / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,160000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Engineering & Applied Science (FEAS),"Islamic International Engineering College (IIEC), Riphah College of Science and Technology (RCST)",MS Biomedical Engineering (MS-BME),"I-14 Campus (Islamabad), Raiwind Campus (Lahore), Gulberg Campus (Lahore)",1.5-4 years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,160000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Engineering & Applied Science (FEAS),"Department of Basic Sciences (DBS), Riphah Institute of Computing and Applied Sciences (RICAS)",M.Phil Mathematics,"I-14 Campus (Islamabad), Gulberg Campus (Lahore)",2 Years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Management Sciences (FMS),Riphah School of Leadership (RSL),MS in Accounting and FInance (MSAF),"Al-Mizan Campus (Rawalpindi), G-7 City Campus (Islamabad)",1.5 Years / 36 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Management Sciences (FMS),Riphah School of Leadership (RSL),MS in Healthcare Management (MSHCM),"Al-Mizan Campus (Rawalpindi), G-7 City Campus (Islamabad)",1.5 Years / 36 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Management Sciences (FMS),"Riphah School of Leadership (RSL), Riphah School of Business and Management (RSBM)",MS in Management Science (MSMS),"Al-Mizan Campus (Rawalpindi), G-7 City Campus (Islamabad), Malakand Campus (Malakand), Gulberg Campus (Lahore)",1.5 Years / 30 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Management Sciences (FMS),"Riphah School of Leadership (RSL), Riphah School of Business and Management (RSBM)",MS in Project Management (MSPM),"Al-Mizan Campus (Rawalpindi), G-7 City Campus (Islamabad), Gulberg Campus (Lahore)",1.5 Years / 36 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Engineering & Applied Science (FEAS),"Department of Basic Sciences (DBS), Riphah College of Science and Technology (RCST)",M.Phil Physics (M.Phil Physics),"I-14 Campus (Islamabad), I-14 Campus (Islamabad), Gulberg Campus (Lahore)",2 Years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Management Sciences (FMS),"Riphah School of Leadership (RSL), Riphah School of Business and Management (RSBM)",Master in Business Administration (MBA),"Al-Mizan Campus (Rawalpindi), Malakand Campus (Malakand), G-7 City Campus (Islamabad), Gulberg Campus (Lahore)",02 Years / 60 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,150000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Social Sciences & Humanities (FSSH),Department of Islamic Studies (DIS),Master of Philosophy in Islamic Studies (M.Phil Islamic Studies),I-14 Campus (Islamabad),2 Years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Public Policy (RIPP),M.Phil Public Policy (MPhil PP),G-7 City Campus (Islamabad),1.5 Years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Social Sciences & Humanities (FSSH),Riphah Institute of Media Sciences (RIMS),MS Media and Communication Studies,I-14 Campus (Islamabad),2 Years / 34 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Health & Medical Sciences (FHMS),Islamic International Dental College (IIDC),Master of Dental Surgery Orthodontics (MDS),G-7 City Campus (Islamabad),4 years / 93 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Health & Medical Sciences (FHMS),Islamic International Dental College (IIDC),Master of Dental Surgery Operative Dentistry (MDS),G-7 City Campus (Islamabad),4 years / 96 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Health & Medical Sciences (FHMS),Islamic International Dental College (IIDC),Master of Philosophy Dental Materials (M. Phil),G-7 City Campus (Islamabad),2 years / 32 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Social Sciences & Humanities (FSSH),"Department of Psychology (DP), Riphah Institute of Clinical and Professional Psychology (RICPP)",Master of Science in Clinical Psychology (MSCP),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",2 years (4 semesters) / 36 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,180000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Health & Medical Sciences (FHMS),Islamic International Dental College (IIDC),Fellowship Program (FCPS-II),"G-7 City Campus (Islamabad), G-7 City Campus (Islamabad)",4 years,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
Riphah International University,Islamabad,MS,Faculty of Rehabilitation & Allied Health Sciences (FRAHS),Riphah College of Rehabilitation and Allied Health Sciences (RCRAHS),Master of Science in Physical Therapy - Sports Physical Therapy (MSPT -(SPT)),"Gulberg Green Campus (Islamabad), Gulberg Campus (Lahore)",2 years / 38 Credit Hours,16 years of education in relevant discipline with minimum CGPA 2.5/4.0 or 60% marks.,Riphah Admission Test or HEC GAT (General).,140000,Per Semester,https://riphah.edu.pk/admissions/fee-structure/,https://riphah.edu.pk/programs/,Spring Campaign (Nov – Feb)
